docente_id,docente_nome,docente_campus,artigo_titulo,artigo_ano,artigo_autores,artigo_total_autores,nome_citacao_primeiro_autor,artigo_grande_area,artigo_area,artigo_sub_area,artigo_relevante,artigo_doi
6014,Dayane Augusta Santos Da Silva,Campus Brasília,Racismo e Propaganda no Brasil,2017,Dayane Augusta Santos da Silva | Jonas Brito,2,"SILVA, D. A. S.",,,,NAO,10.19123/eixo.v6i2.519
6014,Dayane Augusta Santos Da Silva,Campus Brasília,"Em tempos de visitas:­ inquisição, circulação e oralidade escrava na Bahia",2016,Dayane Augusta Santos da Silva,1,"SILVA, D. A. S.",,,,NAO,
6014,Dayane Augusta Santos Da Silva,Campus Brasília,"Memória e cidadania cultural: 'para eu ver como eu sou, e como eu sou diante das outras pessoas'",2009,Dayane Augusta Santos da Silva | Edymara Diniz da Costa | Nancy Alessio Magalhães,3,"SILVA, D. A. S.",,,,NAO,
6014,Dayane Augusta Santos Da Silva,Campus Brasília,Fazer Pesquisa em Angola: Notas sobre pesquisa histórica e documental,2023,Dayane Augusta Santos da Silva,1,"SILVA, D. A. S.",,,,NAO,
6014,Dayane Augusta Santos Da Silva,Campus Brasília,"Repensando a escrita da história da África enquanto campo do conhecimento, narrativas e fazeres historiográficos",2023,Dayane Augusta Santos da Silva,1,"SILVA, D. A. S.",,,,NAO,
6014,Dayane Augusta Santos Da Silva,Campus Brasília,As mulheres angolanas no imaginário colonialportuguês: umabreve análise histórica,2023,Dayane Augusta Santos da Silva,1,"SILVA, D. A. S.",,,,NAO,10.11606/issn.2316-9133.v32i2pe207266
6014,Dayane Augusta Santos Da Silva,Campus Brasília,Na cobertura da retaguarda: mulheres angolanas na luta anticolonial,2023,Dayane Augusta Santos da Silva,1,"SILVA, D. A. S.",,,,NAO,
6014,Dayane Augusta Santos Da Silva,Campus Brasília,GÊNERO E OS FEMINISMO (s) AFRICANO (s),2021,Dayane Augusta Santos da Silva,1,"SILVA, DAYANE AUGUSTA SANTOS DA",,,,NAO,10.12957/transversos.2021.58416
6014,Dayane Augusta Santos Da Silva,Campus Brasília,"Mujeres angoleñas en la lucha anticolonial: historiografía, fuentes y memoria",2021,Dayane Augusta Santos da Silva,1,"SILVA, D. A. S.",,,,NAO,10.35305/rp.v13i32.513
6015,Pablo Diniz Batista,Campus Ceilândia,SnO2 extended gate field effect transistor as pH sensor,2005,Pablo Diniz Batista | Marcelo Mulato | Carlos Graeff | Ramirez Fernandes | Franscisco Marques,5,"BATISTA, P. D.",,,,NAO,10.1590/s0103-97332006000300066
6015,Pablo Diniz Batista,Campus Ceilândia,ZnO extended-gate field-effect transistor as pH sensors,2005,Pablo Diniz Batista | Marcelo Mulato,2,"BATISTA, P. D.",,,,NAO,10.1063/1.2084319
6015,Pablo Diniz Batista,Campus Ceilândia,Is it possible to compare researchers with different scientific interests?,2006,Pablo Diniz Batista | Monica Guimaraes | Osame Kinouchi | Alexandre Martinez,4,"BATISTA, P. D.",CIENCIAS_EXATAS_E_DA_TERRA,,,NAO,10.1007/s11192-006-0090-4
6015,Pablo Diniz Batista,Campus Ceilândia,Deterministic walks as an algorithm of pattern recognition,2006,Monica Guimaraes | Pablo Diniz Batista | Osame Kinouchi | Alexandre Martinez,4,"GUIMARAES, M.",,,,NAO,10.1103/physreve.74.026703
6015,Pablo Diniz Batista,Campus Ceilândia,ZnO/SiO2 microcavity modulator on silicon,2008,Pablo Diniz Batista | Bernd Drescher | W. Seidel | Jorg Rudolph | Shujie jiao | Paulo Santos,6,"BATISTA, P. D.",,,,NAO,10.1063/1.2905276
6015,Pablo Diniz Batista,Campus Ceilândia,"Indium distribution at the interfaces of (Ga,In)(N,As)/GaAs quantum wells",2008,Lena E | F. Ishikawa | Pablo Diniz Batista | A Trampert,4,"ESPERANzA Luna,",,,,NAO,10.1063/1.2907508
6015,Pablo Diniz Batista,Campus Ceilândia,Efficient electrical detection of ambipolar acoustic transport in GaAs,2008,"Pablo Diniz Batista | Hey, R. | Santos, P. V.",3,"Batista, P. D.",,,,NAO,10.1063/1.2955522
6015,Pablo Diniz Batista,Campus Ceilândia,Researchers&apos; writing competence: a bottleneck in the publication of Latin-American science?,2008,"Vasconcelos, Sonia M.R. | Sorenson, Martha M. | Leta, Jacqueline | Sant'Ana, Maurício C. | Pablo Diniz Batista",5,"Vasconcelos, Sonia M.R.",,,,NAO,10.1038/embor.2008.143
6015,Pablo Diniz Batista,Campus Ceilândia,Electrical detection of ambipolar acoustic carrier transport by surface acoustic waves,2009,"Jiao, S. J. | Pablo Diniz Batista | Biermann, K. | Hey, R. | Santos, P. V.",5,"Jiao, S. J.",,,,NAO,10.1063/1.3211861
6015,Pablo Diniz Batista,Campus Ceilândia,Efficient photon detectors using surface acoustic waves,2010,"Jiao, Shujie | Pablo Diniz Batista | Biermann, Klaus | Hey, Rudolf | Santos, Paulo V.",5,"Jiao, Shujie",,,,NAO,10.1016/j.physe.2009.12.037
6015,Pablo Diniz Batista,Campus Ceilândia,Qual o seu índice h? Uma proposta para quantificar a qualidade da pesquisa científica,2010,Pablo Diniz Batista,1,"BATISTA, P. D.",CIENCIAS_EXATAS_E_DA_TERRA,,Estatística,NAO,
6015,Pablo Diniz Batista,Campus Ceilândia,"Ainda é possível pensar o índice h como um indicador quantitativo, qualitativo, fracionário?",2011,Pablo Diniz Batista,1,"BATISTA, P. D.",CIENCIAS_EXATAS_E_DA_TERRA,,Estatística,NAO,
6015,Pablo Diniz Batista,Campus Ceilândia,Ambipolar acoustic transport in silicon,2012,Angélica D.  Barros | Paulo Santos | Pablo Diniz Batista,3,"BARROS, A. D.",ENGENHARIAS,,Materiais Elétricos,NAO,10.1063/1.4733966
6015,Pablo Diniz Batista,Campus Ceilândia,An embedded measurement system for the electrical characterization of EGFET as a pH sensor,2014,Pablo Diniz Batista,1,"Batista, Pablo Diniz",,,,NAO,10.1088/0957-0233/25/2/027001
6015,Pablo Diniz Batista,Campus Ceilândia,Development of a technological tool for the electrical characterization of pH sensors based on EGFET platform,2016,"SILVA, EDGAR | Pablo Diniz Batista",2,"SILVA, EDGAR",,,,NAO,10.7437/NT2236-7640/2016.01.001
6015,Pablo Diniz Batista,Campus Ceilândia,CORDIC: Rethinking sines and cosines,2015,"CAVALCANTI, IVANA | FIGUEIREDO, BENE | SILVA, EDGAR | Pablo Diniz Batista",4,"CAVALCANTI, IVANA",,,,NAO,10.7437/nt2236-7640/2015.03.006
6015,Pablo Diniz Batista,Campus Ceilândia,Análise do desempenho do AD9835 para a geração de um sinal senoidal,2013,"SANTOS, G. | Pablo Diniz Batista",2,"SANTOS, G.",,,,NAO,10.7437/NT2236-7640/2013.01.002
6015,Pablo Diniz Batista,Campus Ceilândia,IG NOBEL: FIRST MAKE PEOPLE LAUGH THEN MAKE THEM THINK,2016,Pablo Diniz Batista,1,"Batista, Pablo D.",,,,NAO,
6015,Pablo Diniz Batista,Campus Ceilândia,First Observation of the Decay B_{s2}^{*}(5840)^{0}&#8594;B^{*+}K^{-} and Studies of Excited B_{s}^{0} Mesons,2013,"AAIJ, R. | ALESSIO, F. | ALEXANDER, M. | ALI, S. | ALKHAZOV, G. | ALVAREZ CARTELLE, P. | Pablo Diniz Batista | ALVES, A. A. | AMATO, S. | AMHIS, Y. | ANDERLINI, L. | ANDERSON, J. | ABELLAN BETETA, C. | ADAMETZ, A. | ADEVA, B. | ADINOLFI, M. | ADROVER, C. | AFFOLDER, A. | AJALTOUNI, Z. | ALBRECHT, J. | et.al",21,"AAIJ, R.",,,,NAO,10.1103/physrevlett.110.151803
6015,Pablo Diniz Batista,Campus Ceilândia,Observation of D^{0}-D[over ¯]^{0} Oscillations,2013,"AAIJ, R. | ALESSIO, F. | ALEXANDER, M. | ALI, S. | ALKHAZOV, G. | ALVAREZ CARTELLE, P. | Pablo Diniz Batista | ALVES, A. A. | AMATO, S. | AMHIS, Y. | ANDERLINI, L. | ANDERSON, J. | ABELLAN BETETA, C. | ADAMETZ, A. | ADEVA, B. | ADINOLFI, M. | ADROVER, C. | AFFOLDER, A. | AJALTOUNI, Z. | ALBRECHT, J. | et.al",21,"AAIJ, R.",,,,NAO,10.1103/physrevlett.110.101802
