docente_id,docente_nome,docente_campus,nome_projeto,natureza,situacao,ano_inicio,ano_fim,descricao,papel,total_integrantes,integrantes
6014,Dayane Augusta Santos Da Silva,Campus Brasília,Presença africana no Distrito Federal,EXTENSAO,CONCLUIDO,2022,2025,"Pretende-se  explorar as relações entre História e Memória a partir da formação de grupo de pesquisa e extensão como forma de realizar estudos sobre a presença de  mulheres africanas dos espaços lusófonos no Distrito Federal. A intenção é  dialogar com  registros orais, fotográficos e impressos que  tragam à tona memórias e versões da história de Brasília, na perspectiva de mulheres imigrantes,  nem sempre consideradas nas versões oficiais da mídia e/ou dos livros didáticos; inéditos até mesmo nos meios acadêmicos. Na interação dos estudantes e docentes do IFB com a comunidade de mulheres africanas, planeja-se catalogar os locais que frequentam, trabalham e estudam e como se reconfiguram a partir desses lugares, em seus processos de construção de identidade e busca de cidadania. Tendo em mente que no  Distrito Federal, essas mulheres desenvolvem estratégias destinadas a garantir sua sobrevivência, adaptando-se e construindo uma identidade inédita, marcada pela preservação de sua africanidade. Mas também ajustando-se às realidades sócio-culturais da vida em uma cidade moderna. Trata-se, conforme aponta Magalhães aponta (2009, p. 12) de maneiras de ser, de estar no mundo, em que presente e passado podem se condensar em narrativas, num outro não previsível, pela ressignificação de tempos, espaços e negociação de diferentes interesses e projetos. Sabe-se que há muitas africanas vivendo em diferentes regiões administrativas do Distrito Federal e atuando, por exemplo, como trançadeiras, estilistas, integrantes de embaixadas, empresárias, trabalhadoras autônomas e estudantes. Esse constante processo de reconstrução identitária, de mulheres e, também, de homens  africanos em situação diaspórica, organiza-se em torno de um paradigma inclusivo, integrador, e, simultaneamente, exclusivo  e discriminatório, pelo racismo anti-negro e anti-africano, existentes no Brasil. O desenvolvimento desta atividade de pesquisa e extensão tenciona rever as abordagens históricas que nos têm dominado e muitas vezes ocultado as experiências das mulheres de origem africana no Distrito Federal. Visa destacar as narrativas dessas mulheres, demonstrando sua participação nas várias esferas da nossa sociedade e na construção da história de Brasília.  Pretende mapear e atestar a presença  dessas mulheres e das formas como gerem suas existências em terras brasilienses. Atende a lei 10.639/2003, que torna obrigatório o Ensino de História e Cultura Afro-brasileira e africana, e desdobra-se na lei 11.645/2008. Além disso, busca desfazer os silêncios no Instituto Federal de Brasília sobre a história das Áfricas dado que documentar estas histórias pode estimular a transmissão de saberes-fazeres a outras gerações do Instituto Federal de Brasília como um todo. É, portanto, um projeto que trás novas abordagens interpretativas sobre a identidade das africanas no Distrito Federal, a partir de pressupostos não-eurocêntricos. Em vista disso, partindo da realidade local, propõe-se estimular os estudantes, em contato com a comunidade africana do Distrito Federal, a produzir material audiovisual e impresso que tragam à tona vozes invisibilizadas na história de Brasília.",Coordenador,9,Dayane Augusta Santos da Silva | Renata Costa | Renata melo Barbosa do Nascimento | Lajara Janaina Lopes Correa | Gehovany Limeira Figueira | Luana Keury Santos de Melo | Yzabella Marques da Silva | Paulo Henrique Viana Araújo | Cícera Viana
6014,Dayane Augusta Santos Da Silva,Campus Brasília,Presença africana no Distrito Federal: visibilidades de mulheres negras em Diáspora,PESQUISA,EM_ANDAMENTO,2025,,"O projeto de pesquisa científica Presença africana no Distrito Federal tem como objetivo produzir material sobre a presença de mulheres africanas oriundas dos países de língua oficial portuguesa na capital brasileira como um esforço de tornar relevante suas trajetórias, saberes, memórias, condições de vida e contribuições para a sociedade brasileira, além de colaborar para uma reinterpretação do povo negro na formação da sociedade nacional e na historiografia sobre o Distrito Federal, resgatando seus protagonismos, autonomias e histórias. Portanto, insere-se no campo de estudos das relações entre História e Memória de modo a apresentar avanços em relação ao estado da arte sobre a contemporânea migração africana no Brasil, de forma mais ampla, e no Distrito Federal, particularmente. Um importante elemento desse campo são as trajetórias de vida, uma vez que nas experiências vividas das pessoas que migram é possível identificar imbricações com o momento recente da sociedade brasileira e dos países de onde partem. Nesse contexto, este projeto está fundamentado na compreensão dos significados dos deslocamentos, da presença e da participação social, econômica e cultural das mulheres africanas originárias dos países africanos de língua oficial portuguesa que atualmente moram no Distrito Federal e que consolidam, aqui, novas relações (familiares, profissionais, afetivas, políticas, intelectuais), vivências e lutas, ao mesmo tempo que apresentam suas demandas específicas em termos de políticas públicas locais. Por meio de pesquisas bibliográficas e entrevistas, serão produzidos registros audiovisuais e textuais que trazem à tona memórias e versões da história recente de Brasília na perspectiva e narrativa de mulheres imigrantes que são raramente consideradas nas versões oficiais da mídia e/ou nas histórias contadas nos livros didáticos sobre a capital do Brasil. Destaca-se que a equipe do projeto é composta por estudantes secundaristas, estudantes recém-formados em cursos técnicos integrados ao Ensino Médio e docentes do Instituto Federal de Brasília (IFB), portanto, em seus aspectos temáticos, científicos e metodológicos, trata-se de pesquisa relevante, urgente, original e inédita, a qual se desenvolverá em perspectiva metodológica da história oral e em diálogo e interação com as experiências das mulheres africanas de Países Africanos de Língua Oficial Portuguesa (PALOP) que atualmente residem no Distrito Federal. Serão mapeados, ainda, os locais que frequentam, trabalham e estudam e como se reconfiguram mutuamente, tanto os espaços, quanto elas, em seus processos de construção de identidade e busca de cidadania. O trabalho produzido em virtude do apoio da FAPDF, contendo os resultados da pesquisa desenvolvida, será divulgado à sociedade em geral de forma gratuita, pública e aberta, contribuindo, assim, para a implementação de políticas públicas e difusão de conhecimentos por meio dos produtos: livro, documentário, participação em eventos acadêmicos e publicações científicas, sempre com referência explícita ao nome da FAPDF.",Coordenador,5,Dayane Augusta Santos da Silva | Paulo Henrique Viana Araújo | Renata Jesus da Costa Ehrl | Lívia Guimarães Mondego | Isabelle Nóbrega Jesus Normanda
6014,Dayane Augusta Santos Da Silva,Campus Brasília,"A infância em contextos anticoloniais, o cotidiano infantil ngola-africano",ENSINO,EM_ANDAMENTO,2024,,"Este projeto busca visibilizar o universo infantil negro-africano no contexto de luta anticolonial angolana (1961-1974), a partir de registros fotográficos do Movimento Popular pela Libertação de Angola  MPLA, localizados na Associação Tchiweka de Documentação - ATD, em Luanda/Angola. A proposta nasce de um processo pessoal de autoentendimento da maternidade, que despertou reflexões sobre a infância enquanto espaço de metamorfoses, contradições e agenciamentos, em diálogo com a história social do Brasil e das Áfricas. Em Angola, durante a luta pela independência, as crianças estiveram presentes nas chamadas zonas militares dos movimentos de libertação angolanos, vivenciando experiências de trabalho, sociabilidade e educação não formal, ao mesmo tempo em que eram atravessadas pela dureza da guerra e pelas hierarquias coloniais. Longe de serem sujeitos passivos, recriaram constantemente formas de viver, brincar e aprender em meio a este conflito armado. Portanto, com base nesse material, pretende-se realizar uma exposição fotográfica no Instituto Federal de Brasília, campus Brasília, acompanhada de textos curatoriais informativos deste contexto histórico. A iniciativa articula ensino, pesquisa e extensão, em consonância com o Projeto Político Institucional do IFB e com as Leis n 10.639/2003 e n 11.645/2008, que instituem a obrigatoriedade do ensino de História e Cultura Afro-brasileira e Africana. Trata-se de projeto desenvolvido no âmbito do Edital n 006/2024 do IFB  Projeto Redes Antirracistas, em parceria com o Ministério da Igualdade Racial (MIR) e o Instituto Federal de Brasília (IFB), sob gestão administrativa e financeira da Finatec.O objetivo central é humanizar as infâncias negras, valorizar sua agência histórica e combater estereótipos ainda presentes no imaginário social, contribuindo para fortalecer a autoestima da população afrodescendente e para ampliar os diálogos sobre infância, colonialismo, resistência e identidade no Brasil contemporâneo.",Coordenador,3,Dayane Augusta Santos da Silva | Amanda Alves dos Santos | Debora Helena Alves de Oliveira
6014,Dayane Augusta Santos Da Silva,Campus Brasília,Recontar: Memórias do Recanto em Audiovisual,EXTENSAO,CONCLUIDO,2018,2021,"Pretende-se abordar as relações entre História e Memória a partir da formação de grupo de estudos,&#10;produção de vídeos, registros orais e fotográficos que trazem à tona a História da cidade envolvida neste projeto, Recanto das Emas. A partir de narrativas não tradicionais os materiais produzidos pelos estudantes e comunidade externa trarão para a cena pública personagens, temas e temporalidades quase sempre invisíveis da perspectiva de uma História Oficial. Com base nas experiências particulares dos estudantes e comunidade externa ao IFB, dos locais que frequentam, trabalham e estudam, em seus processos de construção de identidade e busca por cidadania, pretende-se mapear/cartografar a História desta cidade com base na produção/edição de vídeos por estudantes do IFB- campus Recanto das Emas - em suas múltiplas reelaborações. Tal proposta busca atender parte da demanda por formação profissional na região no que tange a cultura e conquista de espaço junto a comunidade do Recanto das Emas. A cidade já possui projetos de grupos atuantes que promovem atividades no campo da produção cultural, como por exemplo, o projeto batuqueiros do instituto Batucar e a Cia de Teatro Cara d Palco, o que inclusive estimulou a inserção do IFB na cidade. A oferta de cursos na área de audiovisual é uma tentativa de sanar as lacunas existentes entre a formação e a atividade profissional de pessoas que muitas vezes possuem o conhecimento prático no ofício de fotógrafo, operador de câmera ou de áudio, por exemplo, sem a devida certificação. A criação do campus do IFB no Recanto das Emas visa trazer mudanças e desenvolvimento para o setor de audiovisual, inserindo-se em um quadro populacional de maior concentração na categoria dos que têm Ensino Fundamental incompleto 38,48%, seguida pelo médio completo, 23,3%, e superior completo de 5,52%, conforme dados do&#10;CODEPLAN, 2015. Portanto, existe uma demanda por formação, criação de grupos de trabalho e coletivos&#10;de valorização da História da cidade e da experiência de seus moradores no audiovisual, rádio e tv. A&#10;democratização do acesso à internet e às novas mídias pode contribuir para a formação técnica e&#10;humanística prevista no plano de curso do técnico em produção de Áudio e Vídeo tanto subsequente como integrado ao Ensino Médio. Em vista disso, na trilha da EMA Filmes (produtora experimental prevista pelo PPC do curso a ser instalada no campus), propõe-se estimular os participantes deste projeto a produzir vídeos que trazem à tona vozes silenciadas no interior da História institucional do Recanto das Emas, até hoje quase sempre ignoradas numa história mais ampla do Distrito Federal. Documentar tais histórias pode estimular também a transmissão de saberes-fazeres a outras gerações do Recanto.",Coordenador,14,Dayane Augusta Santos da Silva | Renata Costa | Emília Silberstein | Caliandra Molotov | Marcos Antonio Lopes | Yuri Barbosa Santos | Fabíula de Araujo Brandão | Igor Barreto | Ingrid Maria Cândido | Salene Malaquias | Thaís Oliveira | Beatriz Andrade | Sílvio Rangel | Thaline Valcácio
6015,Pablo Diniz Batista,Campus Ceilândia,Propagação de ondas acústicas dispersivas em poço preenchido por fluido: análise computacional para processamento de sinais e modelagem numéric,PESQUISA,CONCLUIDO,2019,2023,,Colaborador,3,Pablo Diniz Batista | Odilon Divino Damasceno Couto Júnior | Tobias Heimfarth
6016,Luiz Guilherme Burlamaqui Soares Porto Rocha,Campus Riacho Fundo,Recanto do cinema,EXTENSAO,CONCLUIDO,2020,2021,"Condução do Projeto Recanto do Cinema, projeto de extensão vinculado ao Instituto Federal de Brasília de 2020-2021",Coordenador,1,Luiz Guilherme Burlamaqui Soares Porto Rocha
6016,Luiz Guilherme Burlamaqui Soares Porto Rocha,Campus Riacho Fundo,Cozinha Concreta: a estética do alimento e o artivismo alimentar,EXTENSAO,CONCLUIDO,2022,2023,"Reflexão conjunta sobre o papel da alimentacão e sua relação com arte. Organizamos uma exposicao no Conecta IF, resultado de nossas reflexoes",Coordenador,2,Luiz Guilherme Burlamaqui Soares Porto Rocha | Tatiana de Macedo Soares Rotolo
6016,Luiz Guilherme Burlamaqui Soares Porto Rocha,Campus Riacho Fundo,Taça Independência: entre memória e história,PESQUISA,EM_ANDAMENTO,2021,,"Projeto sobre a Taça Independência, realizada em 1972",Coordenador,2,Luiz Guilherme Burlamaqui Soares Porto Rocha | Flávio de Campos
6018,Kelly De Oliveira Santos,Campus Ceilândia,O programa Mulheres Mil na Ceilândia e a empregabilidade,PESQUISA,CONCLUIDO,2014,2014,"Esse projeto de pesquisa tem por objetivo analisar a contribuição do Programa Pronatec/Mulheres Mil da Ceilândia na vidas das alunas egressas em 2014, de diversos cursos, avaliando-se:&#10;- A melhoria da renda familiar dessas alunas, por meio da inserção das mesmas no mundo do trabalho;&#10;- A qualidade de vida dessas mulheres, por meio da elevação da escolaridade, a retomada dos estudos, elevação da autoestima, conhecimento dos direitos das mulheres, empoderamento e emancipação.",Coordenador,1,Kelly de Oliveira Santos
6018,Kelly De Oliveira Santos,Campus Ceilândia,Métodos colaborativos: capacitação docente e aplicação no ensino de Química,PESQUISA,CONCLUIDO,2015,2015,"O programa Professores Para o Futuro (Finlândia) II foi um programa multidisciplinar na área da educação e que foi baseado em competências. Foi desenhado especialmente para professores de diferentes áreas que desejam aprender como desenvolver suas habilidades e ampliar seus conhecimentos na área pedagógica. Teve, por objetivo, a inovação educacional e o compartilhamento de conhecimento entre o Brasil e a Finlândia. O programa foi constituído por duas partes. Na primeira, os professores participantes ficaram imersos por cinco meses no sistema educacional finlandês com o objetivo de se apropriarem dos aspectos pedagógicos e para mudarem o paradigma do aprendizado centrado no professor para a aprendizagem centrada no estudante. A segunda parte do programaconsistiu na aplicação prática nos ambientes de aprendizagem locais dos métodos recém-aprendidos. Além disso, era de se esperar que os professores que participaram do programa tenham atuado como multiplicadores e tenham disseminado seus conhecimentos e boas práticas para os outros professores com as finalidade de qualificar os Insitutos Federais. O projeto executado no Brasil foi intitulado Métodos colaborativos: capacitação docente e aplicação no ensino de Química, com a colaboração do professor Bruno Pereira Garcês, do Instituto Federal do Mato Grosso - Campus Confresa. Os objetivos desse novo plano de trabalho foram: i) o compartilhamento dos conhecimentos adquiridos na etapa finlandesa por meio de capacitações pedagógicas, oficinas, cursos de extensão e eventos em geral; ii) a alteração das práticas pedagógicas para uma abordagem centrada no estudante, ou seja, a elaboração de aulas utilizando métodos colaborativos, a utilização de casos reais como forma de desafiar os alunos, a construção de parceria professor-alunos e o encorajamento dos alunos para que eles sejam mais ativos,responsáveis e independentes; iii) o desenvolvimento de habilidades para o trabalho em equipe e a cooperação.",Coordenador,2,Kelly de Oliveira Santos | Bruno Pereira Garcês
